
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2026-05-29T07:18:00.911+08:00  INFO 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Starting SearchServiceApplicationKt using Java 17.0.2 with PID 9616 (C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service\build\libs\bible-search-service.jar started by PC in C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service)
2026-05-29T07:18:00.924+08:00 DEBUG 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Running with Spring Boot v3.2.2, Spring v6.1.3
2026-05-29T07:19:26.543+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] I Kings: 0 verses (total 0)
2026-05-29T07:19:26.576+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] II Kings: 0 verses (total 0)
2026-05-29T07:19:26.618+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] I Chronicles: 0 verses (total 0)
2026-05-29T07:19:26.681+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] II Chronicles: 0 verses (total 0)
2026-05-29T07:19:26.697+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Ezra: 0 verses (total 0)
2026-05-29T07:19:26.722+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Nehemiah: 0 verses (total 0)
2026-05-29T07:19:26.738+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Esther: 0 verses (total 0)
2026-05-29T07:19:26.798+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Job: 0 verses (total 0)
2026-05-29T07:19:27.060+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Psalms: 0 verses (total 0)
2026-05-29T07:19:27.135+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Proverbs: 0 verses (total 0)
2026-05-29T07:19:27.157+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Ecclesiastes: 0 verses (total 0)
2026-05-29T07:19:27.169+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Song of Solomon: 0 verses (total 0)
2026-05-29T07:19:27.335+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Isaiah: 0 verses (total 0)
2026-05-29T07:19:27.479+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-4] c.b.search.service.BibleSearchService    :   [byz] Jeremiah: 0 verses (total 0)
